line,source,ef,ep,nf,np,jaccard,ochiai,faulty
307,case YAML_PARSE_FLOW_MAPPING_FIRST_KEY_STATE:,16,4,0,21,0.800000000000,0.894427191000,False
308,"return yaml_parser_parse_flow_mapping_key(parser, event, 1);",16,4,0,21,0.800000000000,0.894427191000,False
310,case YAML_PARSE_FLOW_MAPPING_KEY_STATE:,16,4,0,21,0.800000000000,0.894427191000,False
311,"return yaml_parser_parse_flow_mapping_key(parser, event, 0);",16,4,0,21,0.800000000000,0.894427191000,False
313,case YAML_PARSE_FLOW_MAPPING_VALUE_STATE:,16,4,0,21,0.800000000000,0.894427191000,False
314,"return yaml_parser_parse_flow_mapping_value(parser, event, 0);",16,4,0,21,0.800000000000,0.894427191000,False
316,case YAML_PARSE_FLOW_MAPPING_EMPTY_VALUE_STATE:,5,0,11,25,0.312500000000,0.559016994375,False
317,"return yaml_parser_parse_flow_mapping_value(parser, event, 1);",5,0,11,25,0.312500000000,0.559016994375,False
319,default:,0,0,16,25,0.000000000000,0.000000000000,False
323,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
333,"yaml_parser_parse_stream_start(yaml_parser_t *parser, yaml_event_t *event)",16,25,0,0,0.390243902439,0.624695047554,False
337,token = PEEK_TOKEN(parser);,16,25,0,0,0.390243902439,0.624695047554,False
338,if (!token) return 0;,16,25,0,0,0.390243902439,0.624695047554,False
340,if (token->type != YAML_STREAM_START_TOKEN) {,16,25,0,0,0.390243902439,0.624695047554,False
341,"return yaml_parser_set_parser_error(parser,",0,0,16,25,0.000000000000,0.000000000000,False
345,parser->state = YAML_PARSE_IMPLICIT_DOCUMENT_START_STATE;,16,25,0,0,0.390243902439,0.624695047554,False
346,"STREAM_START_EVENT_INIT(*event, token->data.stream_start.encoding,",16,25,0,0,0.390243902439,0.624695047554,False
348,SKIP_TOKEN(parser);,16,25,0,0,0.390243902439,0.624695047554,False
350,return 1;,16,25,0,0,0.390243902439,0.624695047554,False
362,"yaml_parser_parse_document_start(yaml_parser_t *parser, yaml_event_t *event,",16,25,0,0,0.390243902439,0.624695047554,False
366,yaml_version_directive_t *version_directive = NULL;,16,25,0,0,0.390243902439,0.624695047554,False
370,"} tag_directives = { NULL, NULL };",16,25,0,0,0.390243902439,0.624695047554,False
372,token = PEEK_TOKEN(parser);,16,25,0,0,0.390243902439,0.624695047554,False
373,if (!token) return 0;,16,25,0,0,0.390243902439,0.624695047554,False
377,if (!implicit),16,25,0,0,0.390243902439,0.624695047554,False
379,while (token->type == YAML_DOCUMENT_END_TOKEN) {,16,23,0,2,0.410256410256,0.640512615220,False
380,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
381,token = PEEK_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
382,if (!token) return 0;,0,0,16,25,0.000000000000,0.000000000000,False
388,if (implicit && token->type != YAML_VERSION_DIRECTIVE_TOKEN &&,16,25,0,0,0.390243902439,0.624695047554,False
389,token->type != YAML_TAG_DIRECTIVE_TOKEN &&,16,25,0,0,0.390243902439,0.624695047554,False
390,token->type != YAML_DOCUMENT_START_TOKEN &&,16,25,0,0,0.390243902439,0.624695047554,False
391,token->type != YAML_STREAM_END_TOKEN),13,23,3,2,0.333333333333,0.541666666667,False
393,"if (!yaml_parser_process_directives(parser, NULL, NULL, NULL))",13,21,3,4,0.351351351351,0.557370401713,False
394,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
395,"if (!PUSH(parser, parser->states, YAML_PARSE_DOCUMENT_END_STATE))",13,21,3,4,0.351351351351,0.557370401713,False
396,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
397,parser->state = YAML_PARSE_BLOCK_NODE_STATE;,13,21,3,4,0.351351351351,0.557370401713,False
398,"DOCUMENT_START_EVENT_INIT(*event, NULL, NULL, NULL, 1,",13,21,3,4,0.351351351351,0.557370401713,False
400,return 1;,13,21,3,4,0.351351351351,0.557370401713,False
405,else if (token->type != YAML_STREAM_END_TOKEN),16,25,0,0,0.390243902439,0.624695047554,False
408,start_mark = token->start_mark;,3,2,13,23,0.166666666667,0.335410196625,False
409,"if (!yaml_parser_process_directives(parser, &version_directive,",3,2,13,23,0.166666666667,0.335410196625,False
411,return 0;,3,2,13,23,0.166666666667,0.335410196625,False
412,token = PEEK_TOKEN(parser);,3,2,13,23,0.166666666667,0.335410196625,False
413,if (!token) goto error;,3,2,13,23,0.166666666667,0.335410196625,False
414,if (token->type != YAML_DOCUMENT_START_TOKEN) {,3,2,13,23,0.166666666667,0.335410196625,False
415,"yaml_parser_set_parser_error(parser,",0,0,16,25,0.000000000000,0.000000000000,False
417,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
419,"if (!PUSH(parser, parser->states, YAML_PARSE_DOCUMENT_END_STATE))",3,2,13,23,0.166666666667,0.335410196625,False
420,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
421,parser->state = YAML_PARSE_DOCUMENT_CONTENT_STATE;,3,2,13,23,0.166666666667,0.335410196625,False
422,end_mark = token->end_mark;,3,2,13,23,0.166666666667,0.335410196625,False
423,"DOCUMENT_START_EVENT_INIT(*event, version_directive,",3,2,13,23,0.166666666667,0.335410196625,False
426,SKIP_TOKEN(parser);,3,2,13,23,0.166666666667,0.335410196625,False
427,version_directive = NULL;,3,2,13,23,0.166666666667,0.335410196625,False
428,tag_directives.start = tag_directives.end = NULL;,3,2,13,23,0.166666666667,0.335410196625,False
429,return 1;,3,2,13,23,0.166666666667,0.335410196625,False
436,parser->state = YAML_PARSE_END_STATE;,16,25,0,0,0.390243902439,0.624695047554,False
437,"STREAM_END_EVENT_INIT(*event, token->start_mark, token->end_mark);",16,25,0,0,0.390243902439,0.624695047554,False
438,SKIP_TOKEN(parser);,16,25,0,0,0.390243902439,0.624695047554,False
439,return 1;,16,25,0,0,0.390243902439,0.624695047554,False
442,error:,0,0,16,25,0.000000000000,0.000000000000,False
443,yaml_free(version_directive);,0,0,16,25,0.000000000000,0.000000000000,False
444,while (tag_directives.start != tag_directives.end) {,0,0,16,25,0.000000000000,0.000000000000,False
445,yaml_free(tag_directives.end[-1].handle);,0,0,16,25,0.000000000000,0.000000000000,False
446,yaml_free(tag_directives.end[-1].prefix);,0,0,16,25,0.000000000000,0.000000000000,False
447,tag_directives.end --;,0,0,16,25,0.000000000000,0.000000000000,False
449,yaml_free(tag_directives.start);,0,0,16,25,0.000000000000,0.000000000000,False
450,return 0;,0,0,16,25,0.000000000000,0.000000000000,False
460,"yaml_parser_parse_document_content(yaml_parser_t *parser, yaml_event_t *event)",3,2,13,23,0.166666666667,0.335410196625,False
464,token = PEEK_TOKEN(parser);,3,2,13,23,0.166666666667,0.335410196625,False
465,if (!token) return 0;,3,2,13,23,0.166666666667,0.335410196625,False
467,if (token->type == YAML_VERSION_DIRECTIVE_TOKEN ||,3,2,13,23,0.166666666667,0.335410196625,False
468,token->type == YAML_TAG_DIRECTIVE_TOKEN ||,3,2,13,23,0.166666666667,0.335410196625,False
469,token->type == YAML_DOCUMENT_START_TOKEN ||,3,2,13,23,0.166666666667,0.335410196625,False
470,token->type == YAML_DOCUMENT_END_TOKEN ||,3,2,13,23,0.166666666667,0.335410196625,False
471,token->type == YAML_STREAM_END_TOKEN) {,3,2,13,23,0.166666666667,0.335410196625,False
472,"parser->state = POP(parser, parser->states);",0,1,16,24,0.000000000000,0.000000000000,False
473,"return yaml_parser_process_empty_scalar(parser, event,",0,1,16,24,0.000000000000,0.000000000000,False
477,"return yaml_parser_parse_node(parser, event, 1, 0);",3,1,13,24,0.176470588235,0.375000000000,False
490,"yaml_parser_parse_document_end(yaml_parser_t *parser, yaml_event_t *event)",16,23,0,2,0.410256410256,0.640512615220,False
494,int implicit = 1;,16,23,0,2,0.410256410256,0.640512615220,False
496,token = PEEK_TOKEN(parser);,16,23,0,2,0.410256410256,0.640512615220,False
497,if (!token) return 0;,16,23,0,2,0.410256410256,0.640512615220,False
499,start_mark = end_mark = token->start_mark;,16,23,0,2,0.410256410256,0.640512615220,False
501,if (token->type == YAML_DOCUMENT_END_TOKEN) {,16,23,0,2,0.410256410256,0.640512615220,False
502,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
503,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
504,implicit = 0;,0,0,16,25,0.000000000000,0.000000000000,False
507,"while (!STACK_EMPTY(parser, parser->tag_directives)) {",16,23,0,2,0.410256410256,0.640512615220,False
508,"yaml_tag_directive_t tag_directive = POP(parser, parser->tag_directives);",16,23,0,2,0.410256410256,0.640512615220,False
509,yaml_free(tag_directive.handle);,16,23,0,2,0.410256410256,0.640512615220,False
510,yaml_free(tag_directive.prefix);,16,23,0,2,0.410256410256,0.640512615220,False
513,parser->state = YAML_PARSE_DOCUMENT_START_STATE;,16,23,0,2,0.410256410256,0.640512615220,False
514,"DOCUMENT_END_EVENT_INIT(*event, implicit, start_mark, end_mark);",16,23,0,2,0.410256410256,0.640512615220,False
516,return 1;,16,23,0,2,0.410256410256,0.640512615220,False
549,"yaml_parser_parse_node(yaml_parser_t *parser, yaml_event_t *event,",16,22,0,3,0.421052631579,0.648885684523,False
553,yaml_char_t *anchor = NULL;,16,22,0,3,0.421052631579,0.648885684523,False
554,yaml_char_t *tag_handle = NULL;,16,22,0,3,0.421052631579,0.648885684523,False
555,yaml_char_t *tag_suffix = NULL;,16,22,0,3,0.421052631579,0.648885684523,False
556,yaml_char_t *tag = NULL;,16,22,0,3,0.421052631579,0.648885684523,False
560,token = PEEK_TOKEN(parser);,16,22,0,3,0.421052631579,0.648885684523,False
561,if (!token) return 0;,16,22,0,3,0.421052631579,0.648885684523,False
563,if (token->type == YAML_ALIAS_TOKEN),16,22,0,3,0.421052631579,0.648885684523,False
565,"parser->state = POP(parser, parser->states);",0,0,16,25,0.000000000000,0.000000000000,False
566,"ALIAS_EVENT_INIT(*event, token->data.alias.value,",0,0,16,25,0.000000000000,0.000000000000,False
568,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
569,return 1;,0,0,16,25,0.000000000000,0.000000000000,False
574,start_mark = end_mark = token->start_mark;,16,22,0,3,0.421052631579,0.648885684523,False
576,if (token->type == YAML_ANCHOR_TOKEN),16,22,0,3,0.421052631579,0.648885684523,False
578,anchor = token->data.anchor.value;,0,0,16,25,0.000000000000,0.000000000000,False
579,start_mark = token->start_mark;,0,0,16,25,0.000000000000,0.000000000000,False
580,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
581,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
582,token = PEEK_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
583,if (!token) goto error;,0,0,16,25,0.000000000000,0.000000000000,False
584,if (token->type == YAML_TAG_TOKEN),0,0,16,25,0.000000000000,0.000000000000,False
586,tag_handle = token->data.tag.handle;,0,0,16,25,0.000000000000,0.000000000000,False
587,tag_suffix = token->data.tag.suffix;,0,0,16,25,0.000000000000,0.000000000000,False
588,tag_mark = token->start_mark;,0,0,16,25,0.000000000000,0.000000000000,False
589,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
590,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
591,token = PEEK_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
592,if (!token) goto error;,0,0,16,25,0.000000000000,0.000000000000,False
595,else if (token->type == YAML_TAG_TOKEN),16,22,0,3,0.421052631579,0.648885684523,False
597,tag_handle = token->data.tag.handle;,0,0,16,25,0.000000000000,0.000000000000,False
598,tag_suffix = token->data.tag.suffix;,0,0,16,25,0.000000000000,0.000000000000,False
599,start_mark = tag_mark = token->start_mark;,0,0,16,25,0.000000000000,0.000000000000,False
600,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
601,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
602,token = PEEK_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
603,if (!token) goto error;,0,0,16,25,0.000000000000,0.000000000000,False
604,if (token->type == YAML_ANCHOR_TOKEN),0,0,16,25,0.000000000000,0.000000000000,False
606,anchor = token->data.anchor.value;,0,0,16,25,0.000000000000,0.000000000000,False
607,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
608,SKIP_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
609,token = PEEK_TOKEN(parser);,0,0,16,25,0.000000000000,0.000000000000,False
610,if (!token) goto error;,0,0,16,25,0.000000000000,0.000000000000,False
614,if (tag_handle) {,16,22,0,3,0.421052631579,0.648885684523,False
615,if (!*tag_handle) {,0,0,16,25,0.000000000000,0.000000000000,False
616,tag = tag_suffix;,0,0,16,25,0.000000000000,0.000000000000,False
617,yaml_free(tag_handle);,0,0,16,25,0.000000000000,0.000000000000,False
618,tag_handle = tag_suffix = NULL;,0,0,16,25,0.000000000000,0.000000000000,False
622,for (tag_directive = parser->tag_directives.start;,0,0,16,25,0.000000000000,0.000000000000,False
623,tag_directive != parser->tag_directives.top;,0,0,16,25,0.000000000000,0.000000000000,False
624,tag_directive ++) {,0,0,16,25,0.000000000000,0.000000000000,False
625,"if (strcmp((char *)tag_directive->handle, (char *)tag_handle) == 0) {",0,0,16,25,0.000000000000,0.000000000000,False
626,size_t prefix_len = strlen((char *)tag_directive->prefix);,0,0,16,25,0.000000000000,0.000000000000,False
627,size_t suffix_len = strlen((char *)tag_suffix);,0,0,16,25,0.000000000000,0.000000000000,False
628,tag = YAML_MALLOC(prefix_len+suffix_len+1);,0,0,16,25,0.000000000000,0.000000000000,False
629,if (!tag) {,0,0,16,25,0.000000000000,0.000000000000,False
630,parser->error = YAML_MEMORY_ERROR;,0,0,16,25,0.000000000000,0.000000000000,False
631,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
633,"memcpy(tag, tag_directive->prefix, prefix_len);",0,0,16,25,0.000000000000,0.000000000000,False
634,"memcpy(tag+prefix_len, tag_suffix, suffix_len);",0,0,16,25,0.000000000000,0.000000000000,False
635,tag[prefix_len+suffix_len] = '\0';,0,0,16,25,0.000000000000,0.000000000000,False
636,yaml_free(tag_handle);,0,0,16,25,0.000000000000,0.000000000000,False
637,yaml_free(tag_suffix);,0,0,16,25,0.000000000000,0.000000000000,False
638,tag_handle = tag_suffix = NULL;,0,0,16,25,0.000000000000,0.000000000000,False
639,break;,0,0,16,25,0.000000000000,0.000000000000,False
642,if (!tag) {,0,0,16,25,0.000000000000,0.000000000000,False
643,"yaml_parser_set_parser_error_context(parser,",0,0,16,25,0.000000000000,0.000000000000,False
646,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
651,implicit = (!tag || !*tag);,16,22,0,3,0.421052631579,0.648885684523,False
652,if (indentless_sequence && token->type == YAML_BLOCK_ENTRY_TOKEN) {,16,22,0,3,0.421052631579,0.648885684523,False
653,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
654,parser->state = YAML_PARSE_INDENTLESS_SEQUENCE_ENTRY_STATE;,0,0,16,25,0.000000000000,0.000000000000,False
655,"SEQUENCE_START_EVENT_INIT(*event, anchor, tag, implicit,",0,0,16,25,0.000000000000,0.000000000000,False
657,return 1;,0,0,16,25,0.000000000000,0.000000000000,False
660,if (token->type == YAML_SCALAR_TOKEN) {,16,22,0,3,0.421052631579,0.648885684523,False
661,int plain_implicit = 0;,16,21,0,4,0.432432432432,0.657595949221,False
662,int quoted_implicit = 0;,16,21,0,4,0.432432432432,0.657595949221,False
663,end_mark = token->end_mark;,16,21,0,4,0.432432432432,0.657595949221,False
664,if ((token->data.scalar.style == YAML_PLAIN_SCALAR_STYLE && !tag),16,21,0,4,0.432432432432,0.657595949221,False
665,"|| (tag && strcmp((char *)tag, ""!"") == 0)) {",0,0,16,25,0.000000000000,0.000000000000,False
666,plain_implicit = 1;,16,21,0,4,0.432432432432,0.657595949221,False
668,else if (!tag) {,0,0,16,25,0.000000000000,0.000000000000,False
669,quoted_implicit = 1;,0,0,16,25,0.000000000000,0.000000000000,False
671,"parser->state = POP(parser, parser->states);",16,21,0,4,0.432432432432,0.657595949221,False
672,"SCALAR_EVENT_INIT(*event, anchor, tag,",16,21,0,4,0.432432432432,0.657595949221,False
676,SKIP_TOKEN(parser);,16,21,0,4,0.432432432432,0.657595949221,False
677,return 1;,16,21,0,4,0.432432432432,0.657595949221,False
679,else if (token->type == YAML_FLOW_SEQUENCE_START_TOKEN) {,16,8,0,17,0.666666666667,0.816496580928,False
680,"if (!STACK_LIMIT(parser, parser->indents, MAX_NESTING_LEVEL - parser->flow_level)) {",16,4,0,21,0.800000000000,0.894427191000,False
681,"yaml_maximum_level_reached(parser, start_mark, token->start_mark);",0,0,16,25,0.000000000000,0.000000000000,False
682,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
684,end_mark = token->end_mark;,16,4,0,21,0.800000000000,0.894427191000,False
685,parser->state = YAML_PARSE_FLOW_SEQUENCE_FIRST_ENTRY_STATE;,16,4,0,21,0.800000000000,0.894427191000,False
686,"SEQUENCE_START_EVENT_INIT(*event, anchor, tag, implicit,",16,4,0,21,0.800000000000,0.894427191000,False
688,return 1;,16,4,0,21,0.800000000000,0.894427191000,False
690,else if (token->type == YAML_FLOW_MAPPING_START_TOKEN) {,16,8,0,17,0.666666666667,0.816496580928,False
691,"if (!STACK_LIMIT(parser, parser->indents, MAX_NESTING_LEVEL - parser->flow_level)) {",16,4,0,21,0.800000000000,0.894427191000,False
692,"yaml_maximum_level_reached(parser, start_mark, token->start_mark);",0,0,16,25,0.000000000000,0.000000000000,False
693,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
695,end_mark = token->end_mark;,16,4,0,21,0.800000000000,0.894427191000,False
696,parser->state = YAML_PARSE_FLOW_MAPPING_FIRST_KEY_STATE;,16,4,0,21,0.800000000000,0.894427191000,False
697,"MAPPING_START_EVENT_INIT(*event, anchor, tag, implicit,",16,4,0,21,0.800000000000,0.894427191000,False
699,return 1;,16,4,0,21,0.800000000000,0.894427191000,False
701,else if (block && token->type == YAML_BLOCK_SEQUENCE_START_TOKEN) {,0,4,16,21,0.000000000000,0.000000000000,False
702,"if (!STACK_LIMIT(parser, parser->indents, MAX_NESTING_LEVEL - parser->flow_level)) {",0,0,16,25,0.000000000000,0.000000000000,False
703,"yaml_maximum_level_reached(parser, start_mark, token->start_mark);",0,0,16,25,0.000000000000,0.000000000000,False
704,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
706,end_mark = token->end_mark;,0,0,16,25,0.000000000000,0.000000000000,False
707,parser->state = YAML_PARSE_BLOCK_SEQUENCE_FIRST_ENTRY_STATE;,0,0,16,25,0.000000000000,0.000000000000,False
708,"SEQUENCE_START_EVENT_INIT(*event, anchor, tag, implicit,",0,0,16,25,0.000000000000,0.000000000000,False
710,return 1;,0,0,16,25,0.000000000000,0.000000000000,False
712,else if (block && token->type == YAML_BLOCK_MAPPING_START_TOKEN) {,0,4,16,21,0.000000000000,0.000000000000,False
713,"if (!STACK_LIMIT(parser, parser->indents, MAX_NESTING_LEVEL - parser->flow_level)) {",0,4,16,21,0.000000000000,0.000000000000,False
714,"yaml_maximum_level_reached(parser, start_mark, token->start_mark);",0,0,16,25,0.000000000000,0.000000000000,False
715,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
717,end_mark = token->end_mark;,0,4,16,21,0.000000000000,0.000000000000,False
718,parser->state = YAML_PARSE_BLOCK_MAPPING_FIRST_KEY_STATE;,0,4,16,21,0.000000000000,0.000000000000,False
719,"MAPPING_START_EVENT_INIT(*event, anchor, tag, implicit,",0,4,16,21,0.000000000000,0.000000000000,False
721,return 1;,0,4,16,21,0.000000000000,0.000000000000,False
723,else if (anchor || tag) {,0,0,16,25,0.000000000000,0.000000000000,False
724,yaml_char_t *value = YAML_MALLOC(1);,0,0,16,25,0.000000000000,0.000000000000,False
725,if (!value) {,0,0,16,25,0.000000000000,0.000000000000,False
726,parser->error = YAML_MEMORY_ERROR;,0,0,16,25,0.000000000000,0.000000000000,False
727,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
729,value[0] = '\0';,0,0,16,25,0.000000000000,0.000000000000,False
730,"parser->state = POP(parser, parser->states);",0,0,16,25,0.000000000000,0.000000000000,False
731,"SCALAR_EVENT_INIT(*event, anchor, tag, value, 0,",0,0,16,25,0.000000000000,0.000000000000,False
734,return 1;,0,0,16,25,0.000000000000,0.000000000000,False
737,"yaml_parser_set_parser_error_context(parser,",0,0,16,25,0.000000000000,0.000000000000,False
741,goto error;,0,0,16,25,0.000000000000,0.000000000000,False
746,error:,0,0,16,25,0.000000000000,0.000000000000,False
747,yaml_free(anchor);,0,0,16,25,0.000000000000,0.000000000000,False
748,yaml_free(tag_handle);,0,0,16,25,0.000000000000,0.000000000000,False
749,yaml_free(tag_suffix);,0,0,16,25,0.000000000000,0.000000000000,False
750,yaml_free(tag);,0,0,16,25,0.000000000000,0.000000000000,False
